JPS1917|Genesis 1:1|c1,In the {{c1::beginning}} God created the heaven and the earth.,Genesis 1:1 | Bereshit,Torah::Genesis::Bereshit Type::AutoCloze
JPS1917|Genesis 1:1|c2,In the beginning God {{c1::created}} the heaven and the earth.,Genesis 1:1 | Bereshit,Torah::Genesis::Bereshit Type::AutoCloze
JPS1917|Genesis 1:2|c1,"Now the earth was unformed and void, and darkness was upon the {{c1::face}} of the deep; and the spirit of God hovered over the face of the waters.",Genesis 1:2 | Bereshit,Torah::Genesis::Bereshit Type::AutoCloze
JPS1917|Genesis 1:2|c2,"Now the earth was unformed and void, and darkness was upon the face of the deep; and the spirit of God hovered over the {{c1::face}} of the waters.",Genesis 1:2 | Bereshit,Torah::Genesis::Bereshit Type::AutoCloze
JPS1917|Genesis 1:3|c1,And God said: ‘Let there be {{c1::light}}.’ And there was light.,Genesis 1:3 | Bereshit,Torah::Genesis::Bereshit Type::AutoCloze
JPS1917|Genesis 1:3|c2,And God said: ‘Let there be light.’ And there was {{c1::light}}.,Genesis 1:3 | Bereshit,Torah::Genesis::Bereshit Type::AutoCloze
JPS1917|Genesis 1:4|c1,"And God saw the {{c1::light}}, that it was good; and God divided the light from the darkness.",Genesis 1:4 | Bereshit,Torah::Genesis::Bereshit Type::AutoCloze
JPS1917|Genesis 1:4|c2,"And God saw the light, that it was good; and God divided the {{c1::light}} from the darkness.",Genesis 1:4 | Bereshit,Torah::Genesis::Bereshit Type::AutoCloze
JPS1917|Genesis 1:5|c1,"And God {{c1::called}} the light Day, and the darkness He called Night. And there was evening and there was morning, one day.",Genesis 1:5 | Bereshit,Torah::Genesis::Bereshit Type::AutoCloze
JPS1917|Genesis 1:5|c2,"And God called the light Day, and the darkness He {{c1::called}} Night. And there was evening and there was morning, one day.",Genesis 1:5 | Bereshit,Torah::Genesis::Bereshit Type::AutoCloze
JPS1917|Genesis 1:6|c1,"And God said: ‘Let there be a firmament in the midst of the {{c1::waters}}, and let it divide the waters from the waters.’",Genesis 1:6 | Bereshit,Torah::Genesis::Bereshit Type::AutoCloze
