JPS1917|Exodus 21:1|c1,Exodus 21:1,Mishpatim,Now these are the {{c1::ordinances}} which thou shalt set before them.,Torah::Exodus::Mishpatim Type::AutoCloze
JPS1917|Exodus 21:1|c2,Exodus 21:1,Mishpatim,Now these are the ordinances which thou shalt set {{c1::before}} them.,Torah::Exodus::Mishpatim Type::AutoCloze
JPS1917|Exodus 21:2|c1,Exodus 21:2,Mishpatim,"If thou buy a {{c1::Hebrew}} servant, six years he shall serve; and in the seventh he shall go out free for nothing.",Torah::Exodus::Mishpatim Type::AutoCloze
JPS1917|Exodus 21:2|c2,Exodus 21:2,Mishpatim,"If thou buy a Hebrew {{c1::servant}}, six years he shall serve; and in the seventh he shall go out free for nothing.",Torah::Exodus::Mishpatim Type::AutoCloze
JPS1917|Exodus 21:3|c1,Exodus 21:3,Mishpatim,"If he come in by {{c1::himself}}, he shall go out by himself; if he be married, then his wife shall go out with him.",Torah::Exodus::Mishpatim Type::AutoCloze
JPS1917|Exodus 21:3|c2,Exodus 21:3,Mishpatim,"If he come in by himself, he shall go out by himself; if he be {{c1::married}}, then his wife shall go out with him.",Torah::Exodus::Mishpatim Type::AutoCloze
JPS1917|Exodus 21:4|c1,Exodus 21:4,Mishpatim,"If his {{c1::master}} give him a wife, and she bear him sons or daughters; the wife and her children shall be her master’s, and he shall go out by himself.",Torah::Exodus::Mishpatim Type::AutoCloze
JPS1917|Exodus 21:4|c2,Exodus 21:4,Mishpatim,"If his master give him a wife, and she bear him sons or {{c1::daughters}}; the wife and her children shall be her master’s, and he shall go out by himself.",Torah::Exodus::Mishpatim Type::AutoCloze
JPS1917|Exodus 21:5|c1,Exodus 21:5,Mishpatim,"But if the servant shall plainly say: {{c1::I}} love my master, my wife, and my children; I will not go out free;",Torah::Exodus::Mishpatim Type::AutoCloze
JPS1917|Exodus 21:5|c2,Exodus 21:5,Mishpatim,"But if the {{c1::servant}} shall plainly say: I love my master, my wife, and my children; I will not go out free;",Torah::Exodus::Mishpatim Type::AutoCloze
JPS1917|Exodus 21:6|c1,Exodus 21:6,Mishpatim,"then his {{c1::master}} shall bring him unto God, and shall bring him to the door, or unto the door-post; and his master shall bore his ear through with an awl; and he shall serve him for ever.",Torah::Exodus::Mishpatim Type::AutoCloze
JPS1917|Exodus 21:6|c2,Exodus 21:6,Mishpatim,"then his master shall bring him unto God, and shall bring him to the door, or unto the door-post; and his master shall bore his ear {{c1::through}} with an awl; and he shall serve him for ever.",Torah::Exodus::Mishpatim Type::AutoCloze
JPS1917|Exodus 21:7|c1,Exodus 21:7,Mishpatim,"And if a man sell his {{c1::daughter}} to be a maid-servant, she shall not go out as the men-servants do.",Torah::Exodus::Mishpatim Type::AutoCloze
JPS1917|Exodus 21:7|c2,Exodus 21:7,Mishpatim,"And if a man sell his daughter to be a maid-{{c1::servant}}, she shall not go out as the men-servants do.",Torah::Exodus::Mishpatim Type::AutoCloze
JPS1917|Exodus 21:8|c1,Exodus 21:8,Mishpatim,"If she {{c1::please}} not her master, who hath espoused her to himself, then shall he let her be redeemed; to sell her unto a foreign people he shall have no power, seeing he hath dealt deceitfully with her.",Torah::Exodus::Mishpatim Type::AutoCloze
JPS1917|Exodus 21:8|c2,Exodus 21:8,Mishpatim,"If she please not her {{c1::master}}, who hath espoused her to himself, then shall he let her be redeemed; to sell her unto a foreign people he shall have no power, seeing he hath dealt deceitfully with her.",Torah::Exodus::Mishpatim Type::AutoCloze
JPS1917|Exodus 21:9|c1,Exodus 21:9,Mishpatim,"And if he {{c1::espouse}} her unto his son, he shall deal with her after the manner of daughters.",Torah::Exodus::Mishpatim Type::AutoCloze
JPS1917|Exodus 21:9|c2,Exodus 21:9,Mishpatim,"And if he espouse her unto his son, he shall deal with her after the {{c1::manner}} of daughters.",Torah::Exodus::Mishpatim Type::AutoCloze
JPS1917|Exodus 21:10|c1,Exodus 21:10,Mishpatim,"If he take him {{c1::another}} wife, her food, her raiment, and her conjugal rights, shall he not diminish.",Torah::Exodus::Mishpatim Type::AutoCloze
JPS1917|Exodus 21:10|c2,Exodus 21:10,Mishpatim,"If he take him another wife, her food, her {{c1::raiment}}, and her conjugal rights, shall he not diminish.",Torah::Exodus::Mishpatim Type::AutoCloze
JPS1917|Exodus 21:11|c1,Exodus 21:11,Mishpatim,"And if he do not these three unto her, then shall she go out for {{c1::nothing}}, without money.",Torah::Exodus::Mishpatim Type::AutoCloze
JPS1917|Exodus 21:11|c2,Exodus 21:11,Mishpatim,"And if he do not these three unto her, then shall she go out for nothing, {{c1::without}} money.",Torah::Exodus::Mishpatim Type::AutoCloze
JPS1917|Exodus 21:12|c1,Exodus 21:12,Mishpatim,"He that {{c1::smiteth}} a man, so that he dieth, shall surely be put to death.",Torah::Exodus::Mishpatim Type::AutoCloze
JPS1917|Exodus 21:12|c2,Exodus 21:12,Mishpatim,"He that smiteth a man, so that he dieth, shall {{c1::surely}} be put to death.",Torah::Exodus::Mishpatim Type::AutoCloze
JPS1917|Exodus 21:13|c1,Exodus 21:13,Mishpatim,"And if a man lie not in wait, but God cause it to come to hand; then {{c1::I}} will appoint thee a place whither he may flee.",Torah::Exodus::Mishpatim Type::AutoCloze
